IDTelefonu,Cena,Datum
1,15444,2021-12-1
1,15444,2021-12-2
1,15444,2021-12-3
1,15444,2021-12-4
1,15444,2021-12-5
1,15444,2021-12-6
1,15444,2021-12-7
1,15444,2021-12-8
1,14441,2021-12-9
1,14441,2021-12-10
1,14441,2021-12-11
1,14441,2021-12-12
1,14441,2021-12-13
1,14441,2021-12-14
1,14441,2021-12-15
1,14441,2021-12-16
1,13136,2021-12-17
1,13136,2021-12-18
1,13136,2021-12-19
1,13136,2021-12-20
1,13136,2021-12-21
1,13136,2021-12-22
1,13136,2021-12-23
1,13136,2021-12-24
1,13136,2021-12-25
1,13136,2021-12-26
1,11938,2021-12-27
1,11938,2021-12-28
1,11938,2021-12-29
1,11938,2021-12-30
1,11938,2021-12-31
2,5388,2021-12-1
2,5388,2021-12-2
2,5388,2021-12-3
2,5388,2021-12-4
2,5388,2021-12-5
2,5388,2021-12-6
2,5388,2021-12-7
2,5388,2021-12-8
2,5388,2021-12-9
2,5388,2021-12-10
2,5388,2021-12-11
2,5388,2021-12-12
2,4568,2021-12-13
2,4568,2021-12-14
2,4568,2021-12-15
2,4568,2021-12-16
2,4568,2021-12-17
2,4568,2021-12-18
2,4568,2021-12-19
2,4568,2021-12-20
2,4568,2021-12-21
2,4568,2021-12-22
2,4568,2021-12-23
2,4568,2021-12-24
2,3544,2021-12-25
2,3544,2021-12-26
2,3544,2021-12-27
2,3544,2021-12-28
2,3544,2021-12-29
2,3544,2021-12-30
2,3544,2021-12-31
3,19848,2021-12-1
3,19848,2021-12-2
3,19848,2021-12-3
3,19848,2021-12-4
3,19848,2021-12-5
3,19848,2021-12-6
3,19848,2021-12-7
3,19848,2021-12-8
3,19848,2021-12-9
3,19848,2021-12-10
3,19848,2021-12-11
3,19848,2021-12-12
3,19848,2021-12-13
3,17274,2021-12-14
3,17274,2021-12-15
3,17274,2021-12-16
3,17274,2021-12-17
3,17274,2021-12-18
3,17274,2021-12-19
3,17274,2021-12-20
3,17274,2021-12-21
3,17274,2021-12-22
3,17274,2021-12-23
3,17274,2021-12-24
3,17274,2021-12-25
3,17274,2021-12-26
3,15431,2021-12-27
3,15431,2021-12-28
3,15431,2021-12-29
3,15431,2021-12-30
3,15431,2021-12-31
4,5980,2021-12-1
4,5980,2021-12-2
4,5980,2021-12-3
4,5980,2021-12-4
4,5980,2021-12-5
4,5980,2021-12-6
4,5980,2021-12-7
4,5663,2021-12-8
4,5663,2021-12-9
4,5663,2021-12-10
4,5663,2021-12-11
4,5663,2021-12-12
4,5663,2021-12-13
4,5663,2021-12-14
4,5663,2021-12-15
4,5663,2021-12-16
4,5663,2021-12-17
4,5663,2021-12-18
4,5663,2021-12-19
4,5040,2021-12-20
4,5040,2021-12-21
4,5040,2021-12-22
4,5040,2021-12-23
4,5040,2021-12-24
4,5040,2021-12-25
4,5040,2021-12-26
4,5040,2021-12-27
4,5040,2021-12-28
4,5040,2021-12-29
4,5040,2021-12-30
4,5040,2021-12-31
5,24959,2021-12-1
5,24959,2021-12-2
5,24959,2021-12-3
5,24959,2021-12-4
5,24959,2021-12-5
5,24959,2021-12-6
5,24959,2021-12-7
5,24959,2021-12-8
5,24959,2021-12-9
5,24959,2021-12-10
5,24959,2021-12-11
5,24959,2021-12-12
5,24959,2021-12-13
5,24959,2021-12-14
5,24096,2021-12-15
5,24096,2021-12-16
5,24096,2021-12-17
5,24096,2021-12-18
5,24096,2021-12-19
5,24096,2021-12-20
5,24096,2021-12-21
5,24096,2021-12-22
5,23546,2021-12-23
5,23546,2021-12-24
5,23546,2021-12-25
5,23546,2021-12-26
5,23546,2021-12-27
5,23546,2021-12-28
5,23546,2021-12-29
5,23546,2021-12-30
5,23546,2021-12-31
6,22950,2021-12-1
6,22950,2021-12-2
6,22950,2021-12-3
6,22950,2021-12-4
6,22950,2021-12-5
6,22950,2021-12-6
6,22950,2021-12-7
6,22950,2021-12-8
6,22950,2021-12-9
6,22950,2021-12-10
6,22950,2021-12-11
6,22950,2021-12-12
6,22950,2021-12-13
6,22950,2021-12-14
6,22950,2021-12-15
6,21554,2021-12-16
6,21554,2021-12-17
6,21554,2021-12-18
6,21554,2021-12-19
6,21554,2021-12-20
6,21554,2021-12-21
6,21554,2021-12-22
6,21554,2021-12-23
6,21554,2021-12-24
6,21554,2021-12-25
6,21554,2021-12-26
6,21554,2021-12-27
6,21554,2021-12-28
6,21554,2021-12-29
6,20089,2021-12-30
6,20089,2021-12-31
