IDTelefonu,Cena,Datum
1,14747,01.12.2021
2,3566,01.12.2021
3,16051,01.12.2021
4,4817,01.12.2021
5,24675,01.12.2021
6,22082,01.12.2021
1,12297,02.12.2021
2,4120,02.12.2021
3,16079,02.12.2021
4,5314,02.12.2021
5,24292,02.12.2021
6,21815,02.12.2021
1,14441,03.12.2021
2,5104,03.12.2021
3,15617,03.12.2021
4,5825,03.12.2021
5,23546,03.12.2021
6,20948,03.12.2021
1,12443,04.12.2021
2,4480,04.12.2021
3,17071,04.12.2021
4,4928,04.12.2021
5,23834,04.12.2021
6,22644,04.12.2021
1,13136,05.12.2021
2,4960,05.12.2021
3,18620,05.12.2021
4,5038,05.12.2021
5,23969,05.12.2021
6,22106,05.12.2021
1,11538,06.12.2021
2,3805,06.12.2021
3,17073,06.12.2021
4,4948,06.12.2021
5,23050,06.12.2021
6,20300,06.12.2021
1,13164,07.12.2021
2,5388,07.12.2021
3,17274,07.12.2021
4,5382,07.12.2021
5,23727,07.12.2021
6,20231,07.12.2021
1,14265,08.12.2021
2,4333,08.12.2021
3,16706,08.12.2021
4,5498,08.12.2021
5,23540,08.12.2021
6,20562,08.12.2021
1,14691,09.12.2021
2,4897,09.12.2021
3,18866,09.12.2021
4,4690,09.12.2021
5,24366,09.12.2021
6,22901,09.12.2021
1,14403,10.12.2021
2,4920,10.12.2021
3,18187,10.12.2021
4,5705,10.12.2021
5,23282,10.12.2021
6,21890,10.12.2021
1,14554,11.12.2021
2,3044,11.12.2021
3,19848,11.12.2021
4,5798,11.12.2021
5,24959,11.12.2021
6,22390,11.12.2021
1,13331,12.12.2021
2,5336,12.12.2021
3,16124,12.12.2021
4,5756,12.12.2021
5,24061,12.12.2021
6,20737,12.12.2021
1,13665,13.12.2021
2,4568,13.12.2021
3,14714,13.12.2021
4,5326,13.12.2021
5,23479,13.12.2021
6,21204,13.12.2021
1,13016,14.12.2021
2,4971,14.12.2021
3,17899,14.12.2021
4,5629,14.12.2021
5,24526,14.12.2021
6,21329,14.12.2021
1,11938,15.12.2021
2,3381,15.12.2021
3,16721,15.12.2021
4,5331,15.12.2021
5,24282,15.12.2021
6,22490,15.12.2021
1,11508,16.12.2021
2,4994,16.12.2021
3,18654,16.12.2021
4,5632,16.12.2021
5,23576,16.12.2021
6,21420,16.12.2021
1,12026,17.12.2021
2,5156,17.12.2021
3,17858,17.12.2021
4,5874,17.12.2021
5,24764,17.12.2021
6,22338,17.12.2021
1,15022,18.12.2021
2,3141,18.12.2021
3,19088,18.12.2021
4,4940,18.12.2021
5,24718,18.12.2021
6,21211,18.12.2021
1,12650,19.12.2021
2,3087,19.12.2021
3,16405,19.12.2021
4,5628,19.12.2021
5,24127,19.12.2021
6,20279,19.12.2021
1,14708,20.12.2021
2,3631,20.12.2021
3,17152,20.12.2021
4,5201,20.12.2021
5,23347,20.12.2021
6,20499,20.12.2021
1,13038,21.12.2021
2,4566,21.12.2021
3,19588,21.12.2021
4,5348,21.12.2021
5,23047,21.12.2021
6,22950,21.12.2021
1,12452,22.12.2021
2,3278,22.12.2021
3,15310,22.12.2021
4,4630,22.12.2021
5,24546,22.12.2021
6,20065,22.12.2021
1,12981,23.12.2021
2,5338,23.12.2021
3,19378,23.12.2021
4,5040,23.12.2021
5,23887,23.12.2021
6,21554,23.12.2021
1,13556,24.12.2021
2,4819,24.12.2021
3,15239,24.12.2021
4,4984,24.12.2021
5,24771,24.12.2021
6,20089,24.12.2021
1,11756,25.12.2021
2,4422,25.12.2021
3,16346,25.12.2021
4,4517,25.12.2021
5,24052,25.12.2021
6,20838,25.12.2021
1,13278,26.12.2021
2,3093,26.12.2021
3,18886,26.12.2021
4,5663,26.12.2021
5,24870,26.12.2021
6,21877,26.12.2021
1,11503,27.12.2021
2,3855,27.12.2021
3,15431,27.12.2021
4,5980,27.12.2021
5,24152,27.12.2021
6,21809,27.12.2021
1,12537,28.12.2021
2,3544,28.12.2021
3,18159,28.12.2021
4,4678,28.12.2021
5,24096,28.12.2021
6,22575,28.12.2021
1,15444,29.12.2021
2,4268,29.12.2021
3,19288,29.12.2021
4,5845,29.12.2021
5,22997,29.12.2021
6,22295,29.12.2021
1,14624,30.12.2021
2,3634,30.12.2021
3,14806,30.12.2021
4,4952,30.12.2021
5,24190,30.12.2021
6,20308,30.12.2021
1,15399,31.12.2021
2,5151,31.12.2021
3,15487,31.12.2021
4,5115,31.12.2021
5,23208,31.12.2021
6,22483,31.12.2021
